archive,placements_member,board_id,target_method,source_label,rectangle_count,target_travel_mode_cost,target_machining_cost,target_runtime_ms
review_overnight_20260422.zip,review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\rh_mcts_prefix_beam\seed_1000\placements.csv,341,process_aware_beam_adaptive_polished,process_aware_beam,30,10748.347123101612,0.0,356.75112499999886
review_overnight_20260422.zip,review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\rh_mcts_prefix_beam\seed_1000\placements.csv,342,process_aware_beam_adaptive_polished,process_aware_beam,29,11401.463995958404,0.0,340.4922080000006
review_overnight_20260422.zip,review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\rh_mcts_prefix_beam\seed_1001\placements.csv,340,process_aware_beam_adaptive_polished,event_gate_selected_candidate,30,10324.28367803585,0.0,967.7766249999991
review_overnight_20260422.zip,review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\rh_mcts_prefix_beam\seed_1001\placements.csv,341,process_aware_beam_adaptive_polished,process_aware_beam,30,10748.347123101612,0.0,357.79845799999777
review_overnight_20260422.zip,review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\rh_mcts_prefix_beam\seed_1001\placements.csv,342,process_aware_beam_adaptive_polished,process_aware_beam,29,11401.463995958404,0.0,341.53979199999895
review_overnight_20260422.zip,review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\rh_mcts_prefix_beam\seed_1002\placements.csv,340,process_aware_beam_adaptive_polished,event_gate_selected_candidate,30,10324.28367803585,0.0,971.734957999999
review_overnight_20260422.zip,review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\rh_mcts_prefix_beam\seed_1002\placements.csv,341,process_aware_beam_adaptive_polished,process_aware_beam,30,10748.347123101612,0.0,358.9785829999954
review_overnight_20260422.zip,review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\rh_mcts_prefix_beam\seed_1002\placements.csv,342,process_aware_beam_adaptive_polished,process_aware_beam,29,11401.463995958404,0.0,341.24537500001395
review_overnight_20260422.zip,review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\rh_mcts_prefix_beam\seed_1003\placements.csv,340,process_aware_beam_adaptive_polished,event_gate_selected_candidate,30,10324.28367803585,0.0,964.3357090000109
review_overnight_20260422.zip,review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\rh_mcts_prefix_beam\seed_1003\placements.csv,341,process_aware_beam_adaptive_polished,process_aware_beam,30,10748.347123101612,0.0,355.35425000000487
