archive,case_name,placement_method,seed,placements_member,board_id,method,variant,planner_kind,support_policy,min_support_count,min_support_ratio,min_area_normalized_support,adjacency_support_weight,use_single_edge_units_only,disable_stability_guidance,disable_adjacency_guidance,disable_detour_operator,disable_safe_travel_modes,evaluate_with_planning_tool,runtime_ms,rectangle_count,rectangle_count_bin,candidate_unit_count,selected_unit_count,action_count,primitive_unit_count,relation_unit_count,selected_single_edge_count,selected_shared_edge_count,selected_near_shared_channel_count,selected_collinear_chain_count,air_move_distance,cutting_length,pierce_count,lift_count,collision_penalty,boundary_penalty,hard_penalty,stability_penalty,safe_lift_count,safe_lift_distance,detour_count,detour_distance,travel_mode_cost,machining_cost,planning_air_move_distance,planning_travel_mode_cost,planning_machining_cost,planning_hard_penalty,planning_stability_penalty,planning_safe_lift_count,planning_detour_count
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip,exp_main_pub_all_1seed_300s__ngcut9,baseline_greedy,seed_1000,paper_extended_suite_20260321/exp_main_pub_all_1seed_300s/exp_main_pub_all_1seed_300s__ngcut9/baseline_greedy/seed_1000/placements.csv,1,single_edges_only,single_edges_only,process_aware_beam,all_edges,1,0.75,0.0,1.0,True,False,False,False,False,False,31.282916000000107,4,000_020,16,16,20,16,0,16,0,0,0,21.48528137423857,162.0,5,5,0.0,0.0,0.0,0.0,0,0.0,0,0.0,21.48528137423857,183.48528137423858,21.48528137423857,21.48528137423857,183.48528137423858,0.0,0.0,0,0
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip,exp_main_pub_all_1seed_300s__ngcut9,baseline_greedy,seed_1000,paper_extended_suite_20260321/exp_main_pub_all_1seed_300s/exp_main_pub_all_1seed_300s__ngcut9/baseline_greedy/seed_1000/placements.csv,1,no_stability_guidance,no_stability_guidance,process_aware_beam,all_edges,1,0.75,0.0,1.0,False,True,False,False,False,False,25.46712499999981,4,000_020,20,13,16,16,4,9,4,0,0,24.0,117.0,4,4,0.0,0.0,0.0,1.0,0,0.0,0,0.0,24.0,141.0,24.0,24.0,141.0,0.0,0.0,0,0
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip,exp_main_pub_all_1seed_300s__ngcut9,baseline_greedy,seed_1000,paper_extended_suite_20260321/exp_main_pub_all_1seed_300s/exp_main_pub_all_1seed_300s__ngcut9/baseline_greedy/seed_1000/placements.csv,1,no_adjacency_support_guidance,no_adjacency_support_guidance,process_aware_beam,all_edges,1,0.75,0.0,1.0,False,False,True,False,False,False,19.378499999999967,4,000_020,20,13,18,16,4,9,4,0,0,36.72004514666935,117.0,6,6,0.0,0.0,0.0,0.0,0,0.0,0,0.0,36.72004514666935,153.72004514666935,36.72004514666935,36.72004514666935,153.72004514666935,0.0,0.0,0,0
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip,exp_main_pub_all_1seed_300s__ngcut9,baseline_greedy,seed_1000,paper_extended_suite_20260321/exp_main_pub_all_1seed_300s/exp_main_pub_all_1seed_300s__ngcut9/baseline_greedy/seed_1000/placements.csv,1,topology_no_beam,topology_no_beam,topology_process_aware,all_edges,1,0.75,0.0,1.0,False,False,False,False,False,False,4.548708999999818,4,000_020,20,13,19,16,4,9,4,0,0,50.93541739055847,117.0,7,7,0.0,0.0,0.0,0.0,0,0.0,0,0.0,50.93541739055847,167.93541739055848,50.93541739055847,50.93541739055847,167.93541739055848,0.0,0.0,0,0
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip,exp_main_pub_all_1seed_300s__ngcut9,baseline_greedy,seed_1000,paper_extended_suite_20260321/exp_main_pub_all_1seed_300s/exp_main_pub_all_1seed_300s__ngcut9/baseline_greedy/seed_1000/placements.csv,1,path_distance_baseline,path_distance_baseline,path_distance_local_search,all_edges,1,0.75,0.0,1.0,False,False,False,False,False,False,36.014875,4,000_020,20,13,19,16,4,9,4,0,0,31.0,117.0,4,4,0.0,0.0,0.0,1.0,0,0.0,0,0.0,31.0,148.0,31.0,31.0,148.0,0.0,1.0,0,4
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip,exp_main_pub_all_1seed_300s__ngcut9,baseline_greedy,seed_1000,paper_extended_suite_20260321/exp_main_pub_all_1seed_300s/exp_main_pub_all_1seed_300s__ngcut9/baseline_greedy/seed_1000/placements.csv,1,no_detour_operator,no_detour_operator,process_aware_beam,all_edges,1,0.75,0.0,1.0,False,False,False,True,False,True,19.28483400000003,4,000_020,20,13,17,16,4,9,4,0,0,24.950844619618657,117.0,5,5,0.0,0.0,0.0,0.0,0,0.0,0,0.0,24.950844619618657,141.95084461961866,24.950844619618657,24.950844619618657,141.95084461961866,0.0,0.0,0,0
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip,exp_main_pub_all_1seed_300s__ngcut9,baseline_greedy,seed_1000,paper_extended_suite_20260321/exp_main_pub_all_1seed_300s/exp_main_pub_all_1seed_300s__ngcut9/baseline_greedy/seed_1000/placements.csv,1,no_safe_travel_modes,no_safe_travel_modes,process_aware_beam,all_edges,1,0.75,0.0,1.0,False,False,False,True,True,True,19.392333999999956,4,000_020,20,13,17,16,4,9,4,0,0,24.950844619618657,117.0,5,5,0.0,0.0,0.0,0.0,0,0.0,0,0.0,24.950844619618657,141.95084461961866,24.950844619618657,24.950844619618657,141.95084461961866,0.0,0.0,0,0
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip,exp_robust_ind_5seed_1200s__data6,baseline_sa,seed_1004,paper_extended_suite_20260321/exp_robust_ind_5seed_1200s/exp_robust_ind_5seed_1200s__data6/baseline_sa/seed_1004/placements.csv,1,full_process_aware_beam,full_process_aware_beam,process_aware_beam,all_edges,1,0.75,0.0,1.0,False,False,False,False,False,False,359.9224999999999,17,000_020,109,46,79,68,41,13,26,0,7,9245.048167727673,15766.0,24,25,0.0,0.0,0.0,0.0,1,1251.5215739251162,0,0.0,9495.048167727673,25261.048167727673,9245.048167727673,9495.048167727673,25261.048167727673,0.0,0.0,1,10
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip,exp_robust_ind_5seed_1200s__data6,baseline_sa,seed_1004,paper_extended_suite_20260321/exp_robust_ind_5seed_1200s/exp_robust_ind_5seed_1200s__data6/baseline_sa/seed_1004/placements.csv,1,single_edges_only,single_edges_only,process_aware_beam,all_edges,1,0.75,0.0,1.0,True,False,False,False,False,False,959.8929999999999,17,000_020,68,68,116,68,0,68,0,0,0,7558.586678152329,25241.0,21,21,0.0,0.0,0.0,0.0,0,0.0,0,0.0,7558.586678152329,32799.58667815233,7558.586678152329,7558.586678152329,32799.58667815233,0.0,0.0,0,32
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip,exp_robust_ind_5seed_1200s__data6,baseline_sa,seed_1004,paper_extended_suite_20260321/exp_robust_ind_5seed_1200s/exp_robust_ind_5seed_1200s__data6/baseline_sa/seed_1004/placements.csv,1,no_stability_guidance,no_stability_guidance,process_aware_beam,all_edges,1,0.75,0.0,1.0,False,True,False,False,False,False,571.2362089999998,17,000_020,109,46,73,68,41,13,26,0,7,4823.625306594037,15766.0,16,16,0.0,0.0,0.0,2.0,0,0.0,0,0.0,4823.625306594037,20589.625306594036,4823.625306594037,4823.625306594037,20589.625306594036,0.0,0.0,0,13
