archive,case_name,placement_method,seed,placements_member,board_id,method,variant,planner_kind,support_policy,min_support_count,min_support_ratio,min_area_normalized_support,adjacency_support_weight,use_single_edge_units_only,disable_stability_guidance,disable_adjacency_guidance,disable_detour_operator,disable_safe_travel_modes,evaluate_with_planning_tool,runtime_ms,rectangle_count,rectangle_count_bin,candidate_unit_count,selected_unit_count,action_count,primitive_unit_count,relation_unit_count,selected_single_edge_count,selected_shared_edge_count,selected_near_shared_channel_count,selected_collinear_chain_count,air_move_distance,cutting_length,pierce_count,lift_count,collision_penalty,boundary_penalty,hard_penalty,stability_penalty,safe_lift_count,safe_lift_distance,detour_count,detour_distance,travel_mode_cost,planning_air_move_distance,planning_travel_mode_cost,planning_hard_penalty,planning_stability_penalty,planning_safe_lift_count,planning_detour_count
review_overnight_20260422.zip,review_t1_ind_a_5seed_300s__data1,baseline_full_beam,seed_1000,review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\baseline_full_beam\seed_1000\placements.csv,344,no_adjacency_support_guidance,no_adjacency_support_guidance,process_aware_beam,all_edges,1,0.75,0.0,1.0,False,False,True,False,False,False,268.456,22,021_050,178,54,93,88,90,6,37,0,11,12838.142000666267,20146.0,30,31,0.0,0.0,0.0,1.0,1,1006.0029821029359,0,0.0,13088.142000666267,12838.142000666267,13088.142000666267,0.0,0.0,1,9
review_overnight_20260422.zip,review_t1_ind_a_5seed_300s__data1,baseline_full_beam,seed_1000,review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\baseline_full_beam\seed_1000\placements.csv,344,topology_no_beam,topology_no_beam,topology_process_aware,all_edges,1,0.75,0.0,1.0,False,False,False,False,False,False,183.7948749999998,22,021_050,178,54,98,88,90,6,37,0,11,12803.007600346884,20146.0,28,30,0.0,0.0,0.0,0.0,1,2430.2528675016515,0,0.0,13053.007600346884,12803.007600346884,13053.007600346884,0.0,0.0,1,17
review_overnight_20260422.zip,review_t1_ind_a_5seed_300s__data1,baseline_full_beam,seed_1000,review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\baseline_full_beam\seed_1000\placements.csv,344,path_distance_baseline,path_distance_baseline,path_distance_local_search,all_edges,1,0.75,0.0,1.0,False,False,False,False,False,False,193.161291,22,021_050,178,54,79,88,90,6,37,0,11,4832.431698082522,20146.0,19,19,0.0,0.0,0.0,5.0,1,826.5742555874821,0,0.0,5082.431698082522,4832.431698082522,5082.431698082522,0.0,5.0,1,8
review_overnight_20260422.zip,review_t1_ind_a_5seed_300s__data1,baseline_full_beam,seed_1000,review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\baseline_full_beam\seed_1000\placements.csv,344,no_detour_operator,no_detour_operator,process_aware_beam,all_edges,1,0.75,0.0,1.0,False,False,False,True,False,True,103.25549999999994,22,021_050,178,54,72,88,90,6,37,0,11,8071.606097456021,20146.0,18,19,0.0,0.0,0.0,0.0,3,2403.4297279731777,0,0.0,8821.606097456022,8071.606097456021,8821.606097456022,0.0,0.0,3,0
review_overnight_20260422.zip,review_t1_ind_a_5seed_300s__data1,baseline_full_beam,seed_1000,review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\baseline_full_beam\seed_1000\placements.csv,344,no_safe_travel_modes,no_safe_travel_modes,process_aware_beam,all_edges,1,0.75,0.0,1.0,False,False,False,True,True,True,104.44374999999972,22,021_050,178,54,74,88,90,6,37,0,11,8146.720206608034,20146.0,20,21,0.0,0.0,0.0,0.0,0,0.0,0,0.0,8146.720206608034,8146.720206608034,8146.720206608034,0.0,0.0,0,0
strong_baseline_overnight_20260407_001243.zip,exp_strong_full_beam_pub_1seed_300s__ngcut9,baseline_full_beam,seed_1000,strong_baseline_overnight_20260407_001243/exp_strong_full_beam_pub_1seed_300s/exp_strong_full_beam_pub_1seed_300s__ngcut9/baseline_full_beam/seed_1000/placements.csv,1,full_process_aware_beam,full_process_aware_beam,process_aware_beam,all_edges,1,0.75,0.0,1.0,False,False,False,False,False,False,143.83324999999968,9,000_020,51,28,44,36,15,13,15,0,0,59.00322475972682,164.0,10,10,0.0,0.0,0.0,0.0,0,0.0,0,0.0,59.00322475972682,59.00322475972682,59.00322475972682,0.0,0.0,0,9
strong_baseline_overnight_20260407_001243.zip,exp_strong_full_beam_pub_1seed_300s__ngcut9,baseline_full_beam,seed_1000,strong_baseline_overnight_20260407_001243/exp_strong_full_beam_pub_1seed_300s/exp_strong_full_beam_pub_1seed_300s__ngcut9/baseline_full_beam/seed_1000/placements.csv,1,single_edges_only,single_edges_only,process_aware_beam,all_edges,1,0.75,0.0,1.0,True,False,False,False,False,False,158.00004199999984,9,000_020,36,36,43,36,0,36,0,0,0,43.601470508735446,258.0,8,8,0.0,0.0,0.0,0.0,0,0.0,0,0.0,43.601470508735446,43.601470508735446,43.601470508735446,0.0,0.0,0,0
strong_baseline_overnight_20260407_001243.zip,exp_strong_full_beam_pub_1seed_300s__ngcut9,baseline_full_beam,seed_1000,strong_baseline_overnight_20260407_001243/exp_strong_full_beam_pub_1seed_300s/exp_strong_full_beam_pub_1seed_300s__ngcut9/baseline_full_beam/seed_1000/placements.csv,1,no_stability_guidance,no_stability_guidance,process_aware_beam,all_edges,1,0.75,0.0,1.0,False,True,False,False,False,False,146.06654200000025,9,000_020,51,28,37,36,15,13,15,0,0,43.01568407110854,164.0,10,10,0.0,0.0,0.0,3.0,0,0.0,0,0.0,43.01568407110854,43.01568407110854,43.01568407110854,0.0,0.0,0,0
strong_baseline_overnight_20260407_001243.zip,exp_strong_full_beam_pub_1seed_300s__ngcut9,baseline_full_beam,seed_1000,strong_baseline_overnight_20260407_001243/exp_strong_full_beam_pub_1seed_300s/exp_strong_full_beam_pub_1seed_300s__ngcut9/baseline_full_beam/seed_1000/placements.csv,1,no_adjacency_support_guidance,no_adjacency_support_guidance,process_aware_beam,all_edges,1,0.75,0.0,1.0,False,False,True,False,False,False,78.22854200000017,9,000_020,51,28,43,36,15,13,15,0,0,94.30607588738495,164.0,15,16,0.0,0.0,0.0,0.0,0,0.0,0,0.0,94.30607588738495,94.30607588738495,94.30607588738495,0.0,0.0,0,0
strong_baseline_overnight_20260407_001243.zip,exp_strong_full_beam_pub_1seed_300s__ngcut9,baseline_full_beam,seed_1000,strong_baseline_overnight_20260407_001243/exp_strong_full_beam_pub_1seed_300s/exp_strong_full_beam_pub_1seed_300s__ngcut9/baseline_full_beam/seed_1000/placements.csv,1,topology_no_beam,topology_no_beam,topology_process_aware,all_edges,1,0.75,0.0,1.0,False,False,False,False,False,False,23.646499999999904,9,000_020,51,28,48,36,15,13,15,0,0,54.56062529783655,164.0,10,10,0.0,0.0,0.0,0.0,0,0.0,0,0.0,54.56062529783655,54.56062529783655,54.56062529783655,0.0,0.0,0,12
strong_baseline_overnight_20260407_001243.zip,exp_strong_full_beam_pub_1seed_300s__ngcut9,baseline_full_beam,seed_1000,strong_baseline_overnight_20260407_001243/exp_strong_full_beam_pub_1seed_300s/exp_strong_full_beam_pub_1seed_300s__ngcut9/baseline_full_beam/seed_1000/placements.csv,1,path_distance_baseline,path_distance_baseline,path_distance_local_search,all_edges,1,0.75,0.0,1.0,False,False,False,False,False,False,92.15483299999994,9,000_020,51,28,40,36,15,13,15,0,0,22.23606797749979,164.0,9,9,0.0,0.0,0.0,2.0,0,0.0,0,0.0,22.23606797749979,22.23606797749979,22.23606797749979,0.0,2.0,0,5
strong_baseline_overnight_20260407_001243.zip,exp_strong_full_beam_pub_1seed_300s__ngcut9,baseline_full_beam,seed_1000,strong_baseline_overnight_20260407_001243/exp_strong_full_beam_pub_1seed_300s/exp_strong_full_beam_pub_1seed_300s__ngcut9/baseline_full_beam/seed_1000/placements.csv,1,no_detour_operator,no_detour_operator,process_aware_beam,all_edges,1,0.75,0.0,1.0,False,False,False,True,False,True,60.660500000000454,9,000_020,51,28,37,36,15,13,15,0,0,62.34070372311245,164.0,10,10,0.0,0.0,0.0,0.0,0,0.0,0,0.0,62.34070372311245,62.34070372311245,62.34070372311245,0.0,0.0,0,0
strong_baseline_overnight_20260407_001243.zip,exp_strong_full_beam_pub_1seed_300s__ngcut9,baseline_full_beam,seed_1000,strong_baseline_overnight_20260407_001243/exp_strong_full_beam_pub_1seed_300s/exp_strong_full_beam_pub_1seed_300s__ngcut9/baseline_full_beam/seed_1000/placements.csv,1,no_safe_travel_modes,no_safe_travel_modes,process_aware_beam,all_edges,1,0.75,0.0,1.0,False,False,False,True,True,True,59.82337499999968,9,000_020,51,28,37,36,15,13,15,0,0,62.34070372311245,164.0,10,10,0.0,0.0,0.0,0.0,0,0.0,0,0.0,62.34070372311245,62.34070372311245,62.34070372311245,0.0,0.0,0,0
