archive,case_name,placement_method,seed,placements_member,board_id,support_policy,min_support_count,min_support_ratio,min_area_normalized_support,adjacency_support_weight,method,topology_candidate_pool_size,beam_width,beam_candidate_pool_size,beam_max_expansions_per_node,beam_max_layer_expansions,beam_diversity_bucket_limit,beam_min_expansions_per_parent,beam_unstable_min_expansions_per_parent,beam_unstable_layer_expansion_multiplier,beam_unstable_layer_expansion_bonus,runtime_ms,rectangle_count,rectangle_count_bin,candidate_unit_count,selected_unit_count,action_count,air_move_distance,cutting_length,pierce_count,lift_count,collision_penalty,boundary_penalty,stability_penalty,safe_lift_count,safe_lift_distance,detour_count,detour_distance,travel_mode_cost,hard_penalty
review_overnight_20260422.zip,review_t1_ind_a_5seed_300s__data1,baseline_full_beam,seed_1000,review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\baseline_full_beam\seed_1000\placements.csv,346,all_edges,1,0.75,0.0,1.0,topology_process_aware,96,,,,,,,,,,230.46083299999952,20,000_020,154,53,89,12252.773364345718,17883.0,28,29,0.0,0.0,0.0,2,3067.4871370539036,9,737.0,12752.773364345718,0.0
review_overnight_20260422.zip,review_t1_ind_a_5seed_300s__data1,baseline_full_beam,seed_1000,review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\baseline_full_beam\seed_1000\placements.csv,346,all_edges,1,0.75,0.0,1.0,process_aware_beam,,8,24,48,56,1,0,2,1.0,0,648.8170829999999,20,000_020,154,53,92,10553.358929374233,17883.0,25,26,0.0,0.0,0.0,2,3101.18261783389,16,1563.3,11053.358929374233,0.0
review_overnight_20260422.zip,review_t1_ind_a_5seed_300s__data1,baseline_full_beam,seed_1000,review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\baseline_full_beam\seed_1000\placements.csv,282,all_edges,1,0.75,0.0,1.0,greedy,,,,,,,,,,,5.390041000000068,18,000_020,121,48,67,5167.919450108562,17908.5,20,20,0.0,0.0,4.0,2,2377.2978798314703,0,0.0,5667.919450108562,0.0
review_overnight_20260422.zip,review_t1_ind_a_5seed_300s__data1,baseline_full_beam,seed_1000,review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\baseline_full_beam\seed_1000\placements.csv,282,all_edges,1,0.75,0.0,1.0,path_distance_local_search,,,,,,,,,,,183.95612499999993,18,000_020,121,48,67,5167.919450108562,17908.5,20,20,0.0,0.0,4.0,2,2377.2978798314703,0,0.0,5667.919450108562,0.0
review_overnight_20260422.zip,review_t1_ind_a_5seed_300s__data1,baseline_full_beam,seed_1000,review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\baseline_full_beam\seed_1000\placements.csv,282,all_edges,1,0.75,0.0,1.0,topology_process_aware,96,,,,,,,,,,154.80154099999942,18,000_020,121,48,96,11958.332043689876,17908.5,31,33,0.0,0.0,0.0,1,1725.8398680062992,19,2520.5,12208.332043689876,0.0
review_overnight_20260422.zip,review_t1_ind_a_5seed_300s__data1,baseline_full_beam,seed_1000,review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\baseline_full_beam\seed_1000\placements.csv,282,all_edges,1,0.75,0.0,1.0,process_aware_beam,,8,24,48,56,1,0,2,1.0,0,612.9985419999997,18,000_020,121,48,89,8722.910962352558,17908.5,24,24,0.0,0.0,0.0,2,1604.0881685634313,20,2288.0,9222.910962352558,0.0
review_overnight_20260422.zip,review_t1_ind_a_5seed_300s__data1,baseline_greedy,seed_1000,review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\baseline_greedy\seed_1000\placements.csv,342,all_edges,1,0.75,0.0,1.0,greedy,,,,,,,,,,,15.495166000000005,31,021_050,260,75,141,6165.8284296671345,22848.200000000004,27,28,0.0,0.0,5.0,1,847.4653326242909,42,1571.0,6415.828429667135,0.0
review_overnight_20260422.zip,review_t1_ind_a_5seed_300s__data1,baseline_greedy,seed_1000,review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\baseline_greedy\seed_1000\placements.csv,342,all_edges,1,0.75,0.0,1.0,path_distance_local_search,,,,,,,,,,,351.4856250000005,31,021_050,260,75,141,6165.8284296671345,22848.200000000004,27,28,0.0,0.0,5.0,1,847.4653326242909,42,1571.0,6415.828429667135,0.0
review_overnight_20260422.zip,review_t1_ind_a_5seed_300s__data1,baseline_greedy,seed_1000,review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\baseline_greedy\seed_1000\placements.csv,342,all_edges,1,0.75,0.0,1.0,topology_process_aware,96,,,,,,,,,,515.3142499999994,31,021_050,260,75,127,10448.117018206834,22848.2,34,35,0.0,0.0,0.0,0,0.0,20,1664.8999999999999,10448.117018206834,0.0
review_overnight_20260422.zip,review_t1_ind_a_5seed_300s__data1,baseline_greedy,seed_1000,review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\baseline_greedy\seed_1000\placements.csv,342,all_edges,1,0.75,0.0,1.0,process_aware_beam,,6,18,36,42,1,0,2,1.0,0,1002.0936670000004,31,021_050,260,75,217,15483.526108213062,22848.2,30,32,0.0,0.0,0.0,1,1492.5968142804004,118,8105.999999999999,15733.526108213062,0.0
review_overnight_20260422.zip,review_t1_ind_a_5seed_300s__data1,baseline_greedy,seed_1000,review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\baseline_greedy\seed_1000\placements.csv,340,all_edges,1,0.75,0.0,1.0,greedy,,,,,,,,,,,7.478749999998868,26,021_050,187,66,106,5354.991670805169,18565.1,33,33,0.0,0.0,4.0,1,665.3908625762755,9,498.79999999999995,5604.991670805169,0.0
