action_index,action_type,travel_mode,start_x,start_y,end_x,end_y,length,cutting_unit_id,segment_id,low_clearance_collision_penalty,collision_penalty,boundary_penalty,safe_lift_count,safe_lift_distance,detour_count,detour_distance,travel_mode_cost,stability_penalty_delta,released_parts_before,released_parts_after,unstable_parts_before,unstable_parts_after,unstable_part_ids_before,unstable_part_ids_after,processed_segments_before,processed_segments_after
0,cut,low_clearance,5.0,5.0,657.0,5.0,652.0,collinear_edge:2184:bottom|88:bottom,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,,,0,2
1,cut,low_clearance,657.0,5.0,1297.0,5.0,640.0,collinear_edge:1048:bottom|1403:bottom,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,,,2,4
2,cut,low_clearance,1297.0,5.0,1937.5,5.0,640.5,collinear_edge:180:bottom|2459:bottom,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,,,4,6
3,cut,low_clearance,1937.5,5.0,1937.5,316.0,311.0,shared_edge:1565:left|180:right,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,,,6,8
4,cut,low_clearance,1937.5,316.0,1928.0,316.0,9.5,shared_edge:180:top|1914:bottom,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,,,8,10
5,cut,low_clearance,1928.0,316.0,1617.0,316.0,311.0,shared_edge:180:top|1874:bottom,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,,,10,11
6,cut,low_clearance,1617.0,316.0,1617.0,5.0,311.0,shared_edge:180:left|2459:right,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,1,0,0,,,11,13
7,cut,low_clearance,1617.0,5.0,977.0,5.0,640.0,collinear_edge:1403:bottom|2459:bottom,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1,1,0,0,,,13,13
8,cut,low_clearance,977.0,5.0,331.0,5.0,646.0,collinear_edge:1048:bottom|2184:bottom,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1,1,0,0,,,13,13
9,cut,low_clearance,331.0,5.0,331.0,326.0,321.0,shared_edge:2184:left|88:right,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1,1,0,0,,,13,15
10,cut,low_clearance,331.0,326.0,331.0,626.0,300.0,shared_edge:569:left|746:right,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1,1,0,0,,,15,17
11,cut,low_clearance,331.0,626.0,331.0,647.0,21.0,shared_edge:746:right|759:left,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1,1,0,0,,,17,18
