case_id,baseline_method,target_method,rectangle_count,baseline_travel_mode_cost,target_travel_mode_cost,travel_mode_cost_delta,travel_mode_cost_reduction_pct,baseline_air_move_distance,target_air_move_distance,air_move_distance_reduction_pct,baseline_cutting_length,target_cutting_length,baseline_machining_cost,target_machining_cost,machining_cost_reduction_pct,baseline_hard_penalty,target_hard_penalty,hard_penalty_delta,baseline_stability_penalty,target_stability_penalty,stability_penalty_delta,stability_penalty_reduction,baseline_tool_event_count,target_tool_event_count,tool_event_count_reduction,baseline_runtime_ms,target_runtime_ms,runtime_ratio,process_key_winner
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip|paper_extended_suite_20260321/exp_robust_ind_5seed_1200s/exp_robust_ind_5seed_1200s__data6/baseline_sa/seed_1004/placements.csv|1,topology_process_aware,process_aware_beam,17,10075.644793,9495.048168,-580.596625,5.762377,9575.644793,9245.048168,3.452474,15766.000000,15766.000000,25841.644793,25261.048168,2.246748,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,57.000000,50.000000,7.000000,123.683791,349.868417,2.828733,target
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip|paper_extended_suite_20260321/exp_robust_ind_5seed_1200s/exp_robust_ind_5seed_1200s__data6/baseline_sa/seed_1004/placements.csv|150,greedy,process_aware_beam,16,5336.441108,8414.267613,3077.826505,-57.675639,4836.441108,7914.267613,-63.638250,16737.000000,16737.000000,22073.441108,25151.267613,-13.943574,0.000000,0.000000,0.000000,5.000000,0.000000,-5.000000,5.000000,38.000000,52.000000,-14.000000,4.261000,536.277875,125.857281,target
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip|paper_extended_suite_20260321/exp_robust_ind_5seed_1200s/exp_robust_ind_5seed_1200s__data6/baseline_sa/seed_1004/placements.csv|150,path_distance_local_search,process_aware_beam,16,5336.441108,8414.267613,3077.826505,-57.675639,4836.441108,7914.267613,-63.638250,16737.000000,16737.000000,22073.441108,25151.267613,-13.943574,0.000000,0.000000,0.000000,5.000000,0.000000,-5.000000,5.000000,38.000000,52.000000,-14.000000,155.631625,536.277875,3.445816,target
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip|paper_extended_suite_20260321/exp_robust_ind_5seed_1200s/exp_robust_ind_5seed_1200s__data6/baseline_sa/seed_1004/placements.csv|150,topology_process_aware,process_aware_beam,16,6837.295104,8414.267613,1576.972509,-23.064274,6837.295104,7914.267613,-15.751441,16737.000000,16737.000000,23574.295104,25151.267613,-6.689373,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,50.000000,52.000000,-2.000000,116.172667,536.277875,4.616214,baseline
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip|paper_extended_suite_20260321/exp_robust_ind_5seed_1200s/exp_robust_ind_5seed_1200s__data6/baseline_sa/seed_1004/placements.csv|152,greedy,process_aware_beam,16,4062.436108,6406.818910,2344.382802,-57.708792,3812.436108,6156.818910,-61.493038,17466.500000,17466.500000,21528.936108,23873.318910,-10.889450,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000,1.000000,43.000000,48.000000,-5.000000,4.606500,374.537583,81.306324,target
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip|paper_extended_suite_20260321/exp_robust_ind_5seed_1200s/exp_robust_ind_5seed_1200s__data6/baseline_sa/seed_1004/placements.csv|152,path_distance_local_search,process_aware_beam,16,4062.436108,6406.818910,2344.382802,-57.708792,3812.436108,6156.818910,-61.493038,17466.500000,17466.500000,21528.936108,23873.318910,-10.889450,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000,1.000000,43.000000,48.000000,-5.000000,167.636958,374.537583,2.234218,target
paper_extended_suite_20260321_continuous_run_only_20260324_0001.zip|paper_extended_suite_20260321/exp_robust_ind_5seed_1200s/exp_robust_ind_5seed_1200s__data6/baseline_sa/seed_1004/placements.csv|152,topology_process_aware,process_aware_beam,16,7478.351527,6406.818910,-1071.532617,14.328460,7478.351527,6156.818910,17.671443,17466.500000,17466.500000,24944.851527,23873.318910,4.295606,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,43.000000,48.000000,-5.000000,128.954666,374.537583,2.904413,target
review_overnight_20260422.zip|review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\baseline_full_beam\seed_1000\placements.csv|282,greedy,process_aware_beam,18,5667.919450,7491.133729,1823.214279,-32.167258,5167.919450,7241.133729,-40.117001,17908.500000,17908.500000,23576.419450,25399.633729,-7.733211,0.000000,0.000000,0.000000,3.000000,0.000000,-3.000000,3.000000,42.000000,47.000000,-5.000000,5.526041,544.936167,98.612400,target
review_overnight_20260422.zip|review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\baseline_full_beam\seed_1000\placements.csv|282,path_distance_local_search,process_aware_beam,18,5667.919450,7491.133729,1823.214279,-32.167258,5167.919450,7241.133729,-40.117001,17908.500000,17908.500000,23576.419450,25399.633729,-7.733211,0.000000,0.000000,0.000000,3.000000,0.000000,-3.000000,3.000000,42.000000,47.000000,-5.000000,186.552500,544.936167,2.921087,target
review_overnight_20260422.zip|review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\baseline_full_beam\seed_1000\placements.csv|282,topology_process_aware,process_aware_beam,18,12208.332044,7491.133729,-4717.198315,38.639171,11958.332044,7241.133729,39.446959,17908.500000,17908.500000,30116.832044,25399.633729,15.662996,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,65.000000,47.000000,18.000000,162.413125,544.936167,3.355247,target
